epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.153,1.54152,2.01528,1.42602,0.62798,0.66829,0.65951,0.34373,1.58444,1.77092,1.36511,0.00055152,0.00055152,0.00055152
2,372.023,1.4145,1.22744,1.32187,0.90253,0.82927,0.90751,0.47196,1.61673,1.08687,1.43759,0.00108526,0.00108526,0.00108526
3,545.603,1.41361,1.0291,1.32326,0.94729,0.83285,0.92318,0.50614,1.63276,0.99149,1.38097,0.001597,0.001597,0.001597
4,729.852,1.3484,0.90295,1.29405,0.8887,0.89583,0.91825,0.54563,1.51855,1.21554,1.35896,0.00156798,0.00156798,0.00156798
5,799.667,1.31485,0.82849,1.28018,0.96968,0.94146,0.97121,0.50613,1.66044,0.71987,1.39591,0.00153497,0.00153497,0.00153497
6,860.951,1.28609,0.77187,1.26212,0.96248,0.92195,0.95935,0.58171,1.45588,0.79273,1.28597,0.00150197,0.00150197,0.00150197
7,1018.34,1.22987,0.71303,1.21816,0.95094,0.92927,0.96326,0.60638,1.3252,0.67978,1.21758,0.00146896,0.00146896,0.00146896
8,1180.97,1.21854,0.68037,1.21348,0.96696,0.9439,0.9691,0.60142,1.29212,0.60431,1.21096,0.00143595,0.00143595,0.00143595
9,1330.92,1.18112,0.65152,1.19466,0.96765,0.94841,0.97388,0.62682,1.35339,0.59446,1.21185,0.00140295,0.00140295,0.00140295
10,1476.9,1.14721,0.6413,1.18094,0.98381,0.96829,0.97673,0.68982,1.10476,0.51175,1.10526,0.00136994,0.00136994,0.00136994
11,1616.87,1.14358,0.62678,1.17785,0.9874,0.9561,0.97517,0.66417,1.17309,0.54519,1.14362,0.00133693,0.00133693,0.00133693
12,1748.79,1.12322,0.60608,1.16277,0.96949,0.93017,0.96587,0.68498,1.10183,0.5339,1.12718,0.00130393,0.00130393,0.00130393
13,1896.65,1.11527,0.59865,1.15945,0.99005,0.94634,0.97522,0.70792,1.0721,0.51921,1.08428,0.00127092,0.00127092,0.00127092
14,2045.22,1.0861,0.58949,1.14714,0.96097,0.96089,0.97561,0.6847,1.10695,0.49332,1.10011,0.00123791,0.00123791,0.00123791
15,3338.37,1.06643,0.55971,1.13162,0.9723,0.96829,0.97572,0.68346,1.11065,0.51471,1.15179,0.00120491,0.00120491,0.00120491
16,3510.37,1.05685,0.55383,1.13393,0.96972,0.96585,0.97532,0.71309,1.00579,0.50169,1.07649,0.0011719,0.0011719,0.0011719
17,3667.89,1.02764,0.53273,1.10959,0.97565,0.97073,0.97903,0.65592,1.25046,0.49783,1.14987,0.00113889,0.00113889,0.00113889
18,3826.71,1.03376,0.53429,1.1116,0.98164,0.96585,0.97839,0.70833,1.06021,0.46891,1.07286,0.00110589,0.00110589,0.00110589
19,3998.05,1.01544,0.5209,1.10291,0.9918,0.97805,0.97726,0.65871,1.22782,0.47266,1.12564,0.00107288,0.00107288,0.00107288
20,4152.44,1.00514,0.5226,1.09851,0.98501,0.96131,0.97709,0.72762,0.99727,0.4559,1.05052,0.00103987,0.00103987,0.00103987
21,4314.34,0.99082,0.5025,1.09133,0.98684,0.96829,0.98258,0.72801,1.06931,0.44017,1.06883,0.00100687,0.00100687,0.00100687
22,4454.71,0.98005,0.50262,1.08517,0.98327,0.9561,0.97484,0.70976,1.02166,0.46015,1.05045,0.000973861,0.000973861,0.000973861
23,4601.01,0.96082,0.49055,1.07463,0.99747,0.96278,0.98178,0.72625,1.03956,0.42352,1.06517,0.000940855,0.000940855,0.000940855
24,4737.3,0.96975,0.49957,1.08607,0.98454,0.97317,0.97865,0.72932,1.00364,0.43892,1.03324,0.000907848,0.000907848,0.000907848
25,4878.26,0.95537,0.48521,1.07242,1,0.96297,0.9796,0.75459,0.92632,0.42443,1.01457,0.000874842,0.000874842,0.000874842
26,5037.1,0.93315,0.47138,1.07053,0.98102,0.97561,0.97863,0.72507,0.99936,0.43751,1.04171,0.000841835,0.000841835,0.000841835
27,5157.3,0.93004,0.46519,1.05941,0.99461,0.97317,0.98129,0.73409,1.01737,0.41057,1.05656,0.000808828,0.000808828,0.000808828
28,5367.18,0.91524,0.46567,1.05819,0.99327,0.97073,0.97938,0.75727,0.95204,0.40641,1.02361,0.000775822,0.000775822,0.000775822
